T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
11.10,4254.00,4212.92,205.40,0,0,0,0,0,0
11.15,4267.00,4223.74,216.32,0,0,0,0,0,0
11.20,4275.00,4233.99,205.06,0,0,0,0,0,0
11.25,4285.00,4244.19,204.04,0,0,0,0,0,0
11.30,4292.00,4253.75,191.24,0,0,0,0,0,0
11.35,4305.00,4264.00,204.99,0,0,0,0,0,0
11.40,4314.00,4274.00,199.99,0,0,0,0,0,0
11.45,4325.00,4284.20,203.99,0,0,0,0,0,0
11.50,4334.00,4294.16,199.19,0,0,0,0,0,0
11.55,4340.00,4303.33,183.36,0,0,0,0,0,0
11.60,4351.00,4312.86,190.68,0,0,0,0,0,0
11.65,4355.00,4321.29,168.54,0,0,0,0,0,0
11.70,4363.00,4329.63,166.84,0,0,0,0,0,0
11.75,4373.00,4338.31,173.47,0,0,0,0,0,0
11.80,4381.00,4346.84,170.78,0,0,0,0,0,0
11.85,4388.00,4355.08,164.62,0,0,0,0,0,0
11.90,4396.00,4363.26,163.70,0,0,0,0,0,0
11.95,4404.00,4371.41,162.96,0,0,0,0,0,0
12.00,4414.00,4379.93,170.36,0,0,0,0,0,0
12.05,4427.00,4389.34,188.29,0,0,0,0,0,0
12.10,4442.00,4399.87,210.63,0,0,0,0,0,0
12.15,4448.00,4409.50,192.51,0,0,0,0,0,0
12.20,4452.00,4418.00,170.01,0,0,0,0,0,0
12.25,4452.00,4424.80,136.01,0,0,0,0,0,0
12.30,4460.00,4431.84,140.80,0,0,0,0,0,0
12.35,4468.00,4439.07,144.64,0,0,0,0,0,0
12.40,4478.00,4446.86,155.71,0,0,0,0,0,0
12.45,4488.00,4455.09,164.57,0,0,0,0,0,0
12.50,4495.00,4463.07,159.66,0,0,0,0,0,0
12.55,4504.00,4471.25,163.73,0,0,0,0,0,0
12.60,4510.00,4479.00,154.98,0,0,0,0,0,0
12.65,4511.00,4485.40,127.99,0,0,0,0,0,0
12.70,4514.00,4491.12,114.38,0,0,0,0,0,0
12.75,4525.00,4497.90,135.51,0,0,0,0,0,0
12.80,4531.00,4504.52,132.41,0,0,0,0,0,0
12.85,4543.00,4512.21,153.93,0,0,0,0,0,0
12.90,4550.00,4519.77,151.14,0,0,0,0,0,0
12.95,4556.00,4527.02,144.91,0,0,0,0,0,0
13.00,4563.00,4534.21,143.93,0,0,0,0,0,0
13.05,4571.00,4541.57,147.15,0,0,0,0,0,0
13.10,4572.00,4547.66,121.72,0,0,0,0,0,0
13.15,4576.00,4553.33,113.37,0,0,0,0,0,0
13.20,4583.00,4559.26,118.70,0,0,0,0,0,0
13.25,4589.00,4565.21,118.96,0,0,0,0,0,0
13.30,4594.00,4570.97,115.17,0,0,0,0,0,0
13.35,4600.00,4576.77,116.13,0,0,0,0,0,0
13.40,4603.00,4582.02,104.90,0,0,0,0,0,0
13.45,4611.00,4587.81,115.93,0,0,0,0,0,0
13.50,4618.00,4593.85,120.74,0,0,0,0,0,0
13.55,4622.00,4599.48,112.59,0,0,0,0,0,0
13.60,4627.00,4604.99,110.08,0,0,0,0,0,0
13.65,4630.00,4609.99,100.06,0,0,0,0,0,0
13.70,4639.00,4615.79,116.04,0,0,0,0,0,0
13.75,4642.00,4621.03,104.83,0,0,0,0,0,0
13.80,4647.00,4626.23,103.87,0,0,0,0,0,0
13.85,4656.00,4632.18,119.10,0,0,0,0,0,0
13.90,4659.00,4637.54,107.28,0,0,0,0,0,0
13.95,4663.00,4642.64,101.83,0,0,0,0,0,0
14.00,4668.00,4647.71,101.46,0,0,0,0,0,0
14.05,4670.00,4652.17,89.17,0,0,0,0,0,0
14.10,4676.00,4656.93,95.33,0,0,0,0,0,0
14.15,4682.00,4661.95,100.26,0,0,0,0,0,0
14.20,4687.00,4666.96,100.21,0,0,0,0,0,0
14.25,4692.00,4671.97,100.17,0,0,0,0,0,0
14.30,4695.00,4676.57,92.14,0,0,0,0,0,0
14.35,4700.00,4681.26,93.71,0,0,0,0,0,0
14.40,4701.00,4685.21,78.96,0,0,0,0,0,0
14.45,4705.00,4689.17,79.17,0,0,0,0,0,0
14.50,4707.00,4692.73,71.34,0,0,0,0,0,0
14.55,4712.00,4696.59,77.07,0,0,0,0,0,0
14.60,4715.00,4700.27,73.66,0,0,0,0,0,0
14.65,4724.00,4705.01,94.92,0,0,0,0,0,0
14.70,4724.00,4708.81,75.94,0,0,0,0,0,0
14.75,4728.00,4712.65,76.76,0,0,0,0,0,0
14.80,4732.00,4716.52,77.40,0,0,0,0,0,0
14.85,4733.00,4719.82,65.92,0,0,0,0,0,0
14.90,4737.00,4723.25,68.74,0,0,0,0,0,0
14.95,4738.00,4726.20,58.99,0,0,0,0,0,0
15.00,4739.00,4728.76,51.19,0,0,0,0,0,0
15.05,4743.00,4731.61,56.95,0,0,0,0,0,0
15.10,4750.00,4735.29,73.56,0,0,0,0,0,0
15.15,4756.00,4739.43,82.85,0,0,0,0,0,0
15.20,4757.00,4742.94,70.28,0,0,0,0,0,0
15.25,4761.00,4746.56,72.23,0,0,0,0,0,0
15.30,4763.00,4749.84,65.78,0,0,0,0,0,0
15.35,4763.00,4752.48,52.62,0,0,0,0,0,0
15.40,4762.00,4754.38,38.10,0,0,0,0,0,0
15.45,4763.00,4756.10,34.48,0,0,0,0,0,0
15.50,4765.00,4757.88,35.59,0,0,0,0,0,0
15.55,4767.00,4759.71,36.46,0,0,0,0,0,0
15.60,4772.00,4762.17,49.17,0,0,0,0,0,0
15.65,4774.00,4764.53,47.33,0,0,0,0,0,0
15.70,4777.00,4767.03,49.87,0,0,0,0,0,0
15.75,4779.00,4769.42,47.90,0,0,0,0,0,0
15.80,4777.00,4770.94,30.31,0,0,0,0,0,0
15.85,4777.00,4772.15,24.26,0,0,0,0,0,0
15.90,4774.00,4772.52,7.40,0,0,0,0,0,0
15.95,4777.00,4773.42,17.92,0,0,0,0,0,0
16.00,4774.00,4773.53,2.33,0,0,0,0,0,0
16.05,4779.00,4774.63,21.87,0,0,0,0,0,0
16.10,4780.00,4775.70,21.49,0,0,0,0,0,0
16.15,4785.00,4777.56,37.20,0,0,0,0,0,0
16.20,4785.00,4779.05,29.76,0,0,0,0,0,0
16.25,4788.00,4780.84,35.81,0,0,0,0,0,0
16.30,4790.00,4782.67,36.64,0,4790,0,0,0,0
16.35,4785.00,4783.14,9.32,0,0,0,0,0,0
16.40,4785.00,4783.51,7.45,0,0,0,0,0,0
16.45,4779.00,4782.61,-18.04,0,0,0,0,0,0
16.50,4781.00,4782.29,-6.43,0,0,0,0,0,0
16.55,4784.00,4782.63,6.86,0,0,0,0,0,0
16.60,4786.00,4783.30,13.49,0,0,0,0,0,0
16.65,4787.00,4784.04,14.79,0,0,0,0,0,0
16.70,4788.00,4784.83,15.83,0,0,0,0,0,0
16.75,4790.00,4785.87,20.66,0,0,0,0,0,0
16.80,4789.00,4786.49,12.53,0,0,0,0,0,0
16.85,4789.00,4787.00,10.03,0,0,0,0,0,0
16.90,4790.00,4787.60,12.02,0,0,0,0,0,0
16.95,4788.00,4787.68,1.61,0,0,0,0,0,0
17.00,4786.00,4787.34,-6.71,0,0,0,0,0,0
17.05,4786.00,4787.07,-5.36,0,0,0,0,0,0
17.10,4782.00,4786.06,-20.29,0,0,0,0,0,0
17.15,4785.00,4785.85,-4.24,0,0,0,0,0,0
17.20,4789.00,4786.48,12.62,0,0,0,0,0,0
17.25,4787.00,4786.58,2.09,0,0,0,0,0,0
17.30,4787.00,4786.67,1.67,0,0,4787,4787,0,0
17.80,4893.00,4807.93,42.53,0,0,0,0,0,0
18.30,4979.00,4842.15,68.43,0,0,0,0,0,0
18.80,4846.00,4842.92,1.54,0,0,0,0,0,0
19.30,4831.00,4840.53,-4.77,0,0,0,0,0,0
19.80,4750.00,4822.43,-36.21,0,0,0,0,0,0
20.30,4694.00,4796.74,-51.37,0,0,0,0,0,0
20.80,4575.00,4752.39,-88.70,0,0,0,0,0,0
21.30,4564.00,4714.71,-75.36,0,0,0,0,0,0
21.80,4595.00,4690.77,-47.89,0,0,0,0,0,0
22.30,4470.00,4646.62,-88.31,0,0,0,0,0,0
22.80,4471.00,4611.49,-70.25,0,0,0,0,0,0
23.30,4464.00,4582.00,-59.00,0,0,0,0,0,0
23.80,4418.00,4549.20,-65.60,0,0,0,0,0,0
24.30,4362.00,4511.76,-74.88,0,0,0,0,0,0
24.80,4322.00,4473.81,-75.90,0,0,0,0,0,0
25.30,4248.00,4428.64,-90.32,0,0,0,0,0,0
25.80,4239.00,4390.72,-75.86,0,0,0,0,0,0
26.30,4174.00,4347.37,-86.69,0,0,0,0,0,0
26.80,4130.00,4303.90,-86.95,0,0,0,0,0,0
27.30,4140.00,4271.12,-65.56,0,0,0,0,0,0
27.80,4092.00,4235.29,-71.65,0,0,0,0,0,0
28.30,3988.00,4185.84,-98.92,0,0,0,0,0,0
28.80,4001.00,4148.87,-73.93,0,0,0,0,0,0
29.30,3921.00,4103.29,-91.15,0,0,0,0,0,0
29.80,3910.00,4064.64,-77.32,0,0,0,0,0,0
30.30,3828.00,4017.31,-94.65,0,0,0,0,0,0
30.80,3832.00,3980.25,-74.12,0,0,0,0,0,0
31.30,3807.00,3945.60,-69.30,0,0,0,0,0,0
31.80,3717.00,3899.88,-91.44,0,0,0,0,0,0
32.30,3744.00,3868.70,-62.35,0,0,0,0,0,0
32.80,3668.00,3828.56,-80.28,0,0,0,0,0,0
33.30,3623.00,3787.45,-82.22,0,0,0,0,0,0
33.80,3592.00,3748.36,-78.18,0,0,0,0,0,0
34.30,3547.00,3708.09,-80.54,0,0,0,0,0,0
34.80,3512.00,3668.87,-78.44,0,0,0,0,0,0
35.30,3482.00,3631.50,-74.75,0,0,0,0,0,0
35.80,3373.00,3579.80,-103.40,0,0,0,0,0,0
36.30,3333.00,3530.44,-98.72,0,0,0,0,0,0
36.80,3302.00,3484.75,-91.37,0,0,0,0,0,0
37.30,3287.00,3445.20,-79.10,0,0,0,0,0,0
37.80,3250.00,3406.16,-78.08,0,0,0,0,0,0
38.30,3183.00,3361.53,-89.26,0,0,0,0,0,0
38.80,3177.00,3324.62,-73.81,0,0,0,0,0,0
39.30,3153.00,3290.30,-68.65,0,0,0,0,0,0
39.80,3078.00,3247.84,-84.92,0,0,0,0,0,0
40.30,3016.00,3201.47,-92.74,0,0,0,0,0,0
40.80,2982.00,3157.58,-87.79,0,0,0,0,0,0
41.30,2992.00,3124.46,-66.23,0,0,0,0,0,0
41.80,2951.00,3089.77,-69.38,0,0,0,0,0,0
42.30,2875.00,3046.82,-85.91,0,0,0,0,0,0
42.80,2860.00,3009.45,-74.73,0,0,0,0,0,0
